Live,#genre#
有線603高清,rtmp://45.88.148.122/channel/60c2d3a9961593122ebaf8bd
????！???ＴＶ ＨＤ,rtmp://45.92.126.114/channel/61319c6ec6f62a25d2da21c1
福克斯電影,rtmp://45.88.148.122/channel/60c2d575961593122ebaf8bf
MONDO TV HD,rtmp://45.92.126.114/channel/61319d21c6f62a25d2da21c5
有線綜合娛樂,rtmp://45.88.148.122/channel/60c2f289961593122ebaf8c1
?????????,rtmp://45.92.126.114/channel/6132218dc6f62a25d2da21ce
Sport Plus 1 HD（??602),rtmp://45.88.148.122/channel/60c2f2c0961593122ebaf8c3
?????????,rtmp://45.92.126.114/channel/6131031fc6f62a25d2da2195
ＢＢＣ????????,rtmp://45.92.126.114/channel/6132224ac6f62a25d2da21d2
鳳凰衛視中文,rtmp://45.88.148.178/channel/60c2f331961593122ebaf8c7
CNN/US HD,rtmp://45.92.126.114/channel/6132238ec6f62a25d2da21d4
鳳凰衛視香港,rtmp://45.88.148.178/channel/60c2f428961593122ebaf8c9
????????１,rtmp://45.92.126.114/channel/613103a6c6f62a25d2da2199
Music Japan TV,rtmp://45.92.126.114/channel/613223d7c6f62a25d2da21d6
鳳凰衛視資訊,rtmp://45.88.148.178/channel/60c2f46e961593122ebaf8cb
????????２,rtmp://45.92.126.114/channel/61310410c6f62a25d2da219b
MTV HD,rtmp://45.92.126.114/channel/61322427c6f62a25d2da21d8
星空衛視,rtmp://45.92.126.226/channel/60ecda6b020b42a2f634be03
????????３,rtmp://45.92.126.114/channel/6131044fc6f62a25d2da219d
MUSIC ON! TV,rtmp://45.92.126.114/channel/6132246bc6f62a25d2da21da
??????????? HD,rtmp://45.92.126.114/channel/613224aec6f62a25d2da21dc
AXN ＨＤ 海外???,rtmp://45.92.126.114/channel/61322915c6f62a25d2da21de
釣?????,rtmp://45.92.126.114/channel/61322958c6f62a25d2da21e0
AXN????? HD,rtmp://45.88.148.114/channel/61322a00c6f62a25d2da21e4
????? ???????? ?????,rtmp://45.88.148.114/channel/61322a43c6f62a25d2da21e6
KBS World,rtmp://45.88.148.114/channel/61322a7dc6f62a25d2da21e8
FOX HD,rtmp://45.88.148.114/channel/61322ac7c6f62a25d2da21ea
東映?????,rtmp://45.88.148.114/channel/61322b7dc6f62a25d2da21ec
女性??????LaLa TV(HD),rtmp://45.88.148.114/channel/61322cc4c6f62a25d2da21ee
???????ＨＤ,rtmp://45.88.148.114/channel/61322cfcc6f62a25d2da21f0
私人影院,rtmp://45.88.148.178/channel/610006dcf0618408855f36bd
日??G+ HD,rtmp://45.88.148.114/channel/61322d3dc6f62a25d2da21f2
衛星劇場ＨＤ,rtmp://45.88.148.114/channel/61322d9cc6f62a25d2da21f4
ＧＡOＲＡ　ＨＤ,rtmp://45.88.148.114/channel/61322dd5c6f62a25d2da21f6
?????ＨＤ,rtmp://45.88.148.114/channel/61322e18c6f62a25d2da21f8
????A sports＋ ＨＤ,rtmp://45.88.148.114/channel/61322e4dc6f62a25d2da21fa
緯來電影,rtmp://104.149.130.142/channel/60b4e50239e1b02e8b910c8c
????????????,rtmp://45.88.148.114/channel/61322e7fc6f62a25d2da21fc
旅?????ＨＤ,rtmp://45.88.148.114/channel/61322f91c6f62a25d2da21fe
ＷＯＷＯＷ???,rtmp://45.88.148.114/channel/61322fcfc6f62a25d2da2200
ＷＯＷＯＷ???,rtmp://45.88.148.114/channel/61323005c6f62a25d2da2202
壹電影台,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cf6
ＷＯＷＯＷ????,rtmp://45.88.148.114/channel/61323038c6f62a25d2da2204
星衛電影,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910d36
??朝?????２,rtmp://45.88.148.114/channel/61323075c6f62a25d2da2206
龍華電影,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910d4c
